school,division,gender,jersey,name,position,class_year,height_in,hometown,major,club_team
Syracuse,D1,M,26,Kristjan Fortier,M,So,,"Toronto, Ontario",,
Syracuse,D1,M,27,Garrett Holman,D,So,,"Hamburg, N.J.",,
Syracuse,D1,M,29,Quinn Olcott,M,So,,"Fayetteville, N.Y.",,
Syracuse,D1,M,40,Juan Martinez-Bastidas,GK,Fr,,"Greenville, S.C.",,
Washington,D1,M,0,Levi Bieber,GK,So,77,"Tacoma, Wash.",Real Estate,
Washington,D1,M,00,Kenny Pierpoint,GK,Fr,77,"Spokane, Wash.",Undeclared,
Washington,D1,M,1,Jadon Bowton,GK,Sr,76,"Spokane, Wash.",Computer Science,
Washington,D1,M,2,Philip Kleemann,D,Jr,76,"Newbury Park, Calif.",Geography: Data Science,
Washington,D1,M,3,Harrison Bertos,D,Jr,73,"Bedford, Mass.",Real Estate,
Washington,D1,M,4,Egor Akulov,D,Jr,74,"Redmond, Wash.",Computer Science,
Washington,D1,M,5,Asher Hestad,D,So,73,"Seattle, Wash.",Undeclared,
Washington,D1,M,6,Zach Ramsey,M,So,70,"Redmond, Wash.",Engineering,
Washington,D1,M,7,Alex Hall,M,So,71,"Newcastle, Wash.",Undeclared,
Washington,D1,M,8,Clarens Dollin,M,Fr,68,"Pullman, Wash.",Undeclared,
Washington,D1,M,9,Charlie Kosakoff,F,Jr,71,"San Diego, Calif.",Real Estate,
Washington,D1,M,10,Richie Aman,M,Sr,69,"Hanover, N.H.",Psychology,
Washington,D1,M,11,Nick O'Brien,F,Jr,71,"San Jose, Calif.","Business Administration: Accounting, Finance",
Washington,D1,M,12,Carter Gay,D,So,71,"Everett, Wash.",Undeclared,
Washington,D1,M,13,Kevin Hernandez,M,Fr,72,"Sunnyside, Wash.",Undeclared,
Washington,D1,M,14,Joe Dale,M,Jr,69,"Seattle, Wash.","Business Administration: Entrepeneurship, Finance",
Washington,D1,M,15,Mani Diop,M,Sr,77,"Kaolack, Senegal",Real Estate,
Washington,D1,M,16,Zack Meier,D,Fr,74,"Kirkland, Wash.",Undeclared,
Washington,D1,M,17,Cameron Cruz,M,Jr,67,"Seattle, Wash.",Undeclared,
Washington,D1,M,18,Nani Deperro,F,Jr,69,"Bend, Ore.",Sociology,
Washington,D1,M,19,Mikey Sherlock,M,Jr,73,"Del Mar, Calif.",Real Estate,
Washington,D1,M,21,Osato Enabulele,M,Fr,74,"Murphy, Texas",Undeclared,
Washington,D1,M,22,Conner Leber,D,Sr,74,"Phoenix, Ariz.",Bioengineering,
Washington,D1,M,23,Sheehan Ganguly,M,So,66,"Bellevue, Wash.",Computer Engineering,
Washington,D1,M,26,Connor Lofy,M,So,72,"Kirkland, Wash.","Business Administration: Accounting, Finance",
Washington,D1,M,30,Jaeger Felton,GK,So,73,"Seattle, Wash.",Undeclared,
Washington,D1,M,31,Brecken Bowers,M,So,70,"Woodinville, Wash.",Undeclared,
Washington,D1,M,33,Chad Sovde,M,So,73,"Bellevue, Wash.",Real Estate,
Washington,D1,M,44,Gabe Fernandez,D,So,67,"Port Orchard, Wash.",Business Administration Finance,
Washington,D1,W,0,Malie Chamberland,GK,Sr,67.0,"Kirkland, Wash.",,
Washington,D1,W,1,Tanner Ijams,GK,So,69.0,"Topanga, Calif.",,
Washington,D1,W,2,Anna Menti,M,Sr,68.0,"Seattle, Wash.",Real Estate,
Washington,D1,W,3,Enora Matté,M,Sr,70.0,"Liège, Belgium",Architecture,
Washington,D1,W,4,Maya Loudd,D,Sr,70.0,"Tualatin, Ore.",,
Washington,D1,W,5,Sophie Blake,D,Jr,66.0,"Gig Harbor, Wash.",Public Health Global Health,
Washington,D1,W,6,Ryan Boehm,F,Fr,67.0,"Bellingham, Wash.",,
Washington,D1,W,7,Angelica Chou,F,Fr,70.0,"Los Altos, Calif.",Engineering Undeclared,
Washington,D1,W,8,Ava Morton,M,Jr,65.0,"Sumner, Wash.",,
Washington,D1,W,9,Summer Murphy,F,Fr,,"Maple Valley, Wash.",,
Washington,D1,W,10,Andrea Leyva,M,Jr,65.0,"Las Vegas, Nev.",,
Washington,D1,W,11,Mary Camp Newton,F,So,66.0,"Atlanta, Ga.",,
Washington,D1,W,12,Maylen Montoya,M,So,69.0,"Pleasanton, Calif.",,
Washington,D1,W,13,Samiah Shell,M,Sr,65.0,"Auburn, Wash.",Marketing and Entrepreneurship,
Washington,D1,W,14,Elle Durham,D,Fr,68.0,"Tyler, Texas",,
Washington,D1,W,15,Alex Buck,F,Jr,71.0,"Medina, Wash.",,
Washington,D1,W,16,Grace Duncan,F,Fr,67.0,"Tauranga, New Zealand",,
Washington,D1,W,17,Jadyn Holdenried,M,Sr,68.0,"Windsor, Calif.",Accounting,
Washington,D1,W,18,Vanessa Aguilar,M,So,64.0,"Soledad, Calif.",,
Washington,D1,W,19,Taylor Thomas,D,Sr,,"Sioux Falls, S.D.",,
Washington,D1,W,20,Payton Norman,D,Fr,,"Rolling Hills, Calif.",,
Washington,D1,W,21,Ava De Filippo,D,Fr,68.0,"Ladera Ranch, Calif.",,
Washington,D1,W,22,Kenzie Stearns,D,Fr,,"Ramona, Calif.",,
Washington,D1,W,23,Lucy Newlin,M,Sr,70.0,"Granite Bay, Cailf.",Biology (Physiology),
Washington,D1,W,24,Maggie Dutra,F,Jr,65.0,"Issaquah, Wash.",,
Washington,D1,W,27,Cecelia Egan,D,Jr,61.0,"Cardiff, Calif.",,
Washington,D1,W,30,Avery Nguyen,F,Sr,68.0,"Lenexa, Kan.",Bioengineering,
Washington,D1,W,33,Rylie Hurst,GK,Fr,,"Haymarket, Va.",,
Washington,D1,W,99,Rory Murry,GK,So,69.0,"Lake Tapps, Wash.",,
Denver,D1,M,0,Wyatt Gray,GK,So,,"Los Angeles, California",,Ventura FC
Denver,D1,M,1,Alex Hohl,GK,Fr,,"Castle Pines, Colorado",,Real Colorado
Denver,D1,M,2,Brett Phan,M,Fr,,"San Diego, California",,LA Galaxy
Denver,D1,M,3,Will King,D,Jr,,"Columbus, Ohio",,Columbus Crew
Denver,D1,M,4,Grant Lund,D,Jr,,"Erie, Colorado",,Real Colorado
Denver,D1,M,5,Dominic Kallay,D,Sr,,"Chandler, Arizona",,RSL Arizona
Denver,D1,M,6,Ethan Orchard,M,Fr,,"Arvada, Colorado",,Real Colorado
Denver,D1,M,7,David Biggers,M,Sr,,"Fort Collins, Colorado",,Real Colorado
Denver,D1,M,8,Andrew Mann,M,So,,"Westminster, Colorado",,Real Colorado
Denver,D1,M,9,Tyler Schommer,F,Sr,,"Prior Lake, Minnesota",,Shattuck-St. Mary's
Denver,D1,M,10,Holger Olsson,M,Sr,,"Stockholm, Sweden",,AIK Fotboll
Denver,D1,M,11,Ian Welch,F,Sr,,"Austin, Texas",,Lonestar SC
Denver,D1,M,12,Kieran Hanna,D,So,,"Denver, Colorado",,Real Colorado
Denver,D1,M,13,Chris Carroll,D,Jr,,"Denver, Colorado",,Real Colorado
Denver,D1,M,14,Luke Schultz,M,Sr,,"Arvada, Colorado",,Real Colorado
Denver,D1,M,16,Hudson Tate,M,So,,"Portland, Oregon",,Portland Timbers
Denver,D1,M,17,Kyle McGowan,F,Sr,,"Portland, Oregon",,Portland Timbers
Denver,D1,M,18,Keegan Kelly,F,Jr,,"Auckland, New Zealand",,Western Springs
Denver,D1,M,19,Logan Isaacson,M,Fr,,"Colorado Springs, Colorado",,Real Colorado
Denver,D1,M,20,Erik Collins,D,So,,"Spokane, Washington",,Seattle Sounders
Denver,D1,M,21,Tomi Giwa,F,Fr,,"Thornton, Colorado",,Colorado Rapids
Denver,D1,M,22,Chase Stewart,F,Fr,,"Las Vegas, Nevada",,Las Vegas Heat Surf
Denver,D1,M,23,Blake Wheeler,GK,So,,"Prosper, Texas",,FC Dallas
Denver,D1,M,25,Aidan Semelsberger,M,Sr,,"Los Alamos, New Mexico",,Rio Rapids
Denver,D1,M,28,Collin Keller,D,Sr,,"Denver, Colorado",,Colorado Rapids
Denver,D1,M,29,Jon Fritcher,M,Fr,,"Pleasant Grove, Utah",,U.S. Soccer ODP
Denver,D1,M,30,Dean Kelliher,GK,Sr,,"Chevy Chase, Maryland",,Bethesda Soccer Club
Denver,D1,M,31,Tate Sheally,F,Sr,,"Wilmington, North Carolina",,Wilmington Hammerheads FC
Denver,D1,M,33,Ryan Mackay,D,Fr,,"Auckland, New Zealand",,Auckland FC Reserves
Denver,D1,M,34,Bryce Willoughby,F,Sr,,"Houston, Texas",,Houston Dynamo
Denver,D1,M,38,Anthony Masino,M,So,,"Oak Forest, Illinois",,Sockers FC
Denver,D1,W,0,Sophia Elfrink,GK,Sr,,"Columbia, Missouri",,United Capital City
Denver,D1,W,2,Parker Wilkerson,D,So,,"Dallas, Texas",,FC Dallas
Denver,D1,W,3,Annie Philbin,D,So,,"Northbrook, Illinois",,Eclipse Select
Denver,D1,W,4,Reese Morgan,M,Fr,,"Loveland, Colorado",,Real Colorado
Denver,D1,W,5,Avery Baker,M,So,,"Carlsbad, California",,City SC
Denver,D1,W,6,Riley Jeffries,M,So,,"Portland, Oregon",,Portland Thorns
Denver,D1,W,8,Rowan LaPiano,M,Jr,,"Parker, Colorado",,Real Colorado
Denver,D1,W,9,Lilly Lund,F,So,,"Louisville, Kentucky",,Racing Louisville
Denver,D1,W,10,Alanna Raimondo,M,Sr,,"Vaughn, Ontario, Canada",,National Development Centre - Ontario
Denver,D1,W,11,Grace Dreiling,M,Jr,,"Centennial, Colorado",,Real Colorado
Denver,D1,W,12,Luci Vincent,D,Sr,,"Salt Lake City, Utah",,Utah Celtic
Denver,D1,W,13,Shay Payne,F,Sr,,"Rosemount, Minnesota",,Minnesota Thunder
Denver,D1,W,14,Olivia Kroska,M,So,,"Ankeny, Iowa",,Sporting Iowa
Denver,D1,W,15,Kit Mooney,M,Jr,,"Washington, D.C.",,Arlington SC
Denver,D1,W,16,Caitlin Staats,F,Fr,,"Boise, Idaho",,Boise Thorns
Denver,D1,W,17,Camila Palacios,F,So,,"San Antonio, Texas",,Classics Elite
Denver,D1,W,18,Solveig Moritz,M,Fr,,"Vail, Colorado",,Vail Valley SC
Denver,D1,W,19,Kera Nguyen,M,Sr,,"Highlands Ranch, Colorado",,Real Colorado
Denver,D1,W,20,Jacqui Wilson,M,Fr,,"Fort Collins, Colorado",,Colorado Rapids
Denver,D1,W,21,Samantha Dreiling,M,Sr,,"Centennial, Colorado",,Real Colorado
Denver,D1,W,22,Nora Zelazny,D,Sr,,"Wilmette, Illinois",,FC United SC
Denver,D1,W,23,Lucy Garnsey,GK,So,,"Denver, Colorado",,Colorado Rapids
Denver,D1,W,24,Maeve Morgan,F,Fr,,"Scottsdale, Arizona",,Phoenix Rising
Denver,D1,W,25,Keirra Venson,D,Fr,,"Round Rock, Texas",,Sting Austin
Denver,D1,W,26,Camille Kollar,M,Jr,,"Littleton, Colorado",,Colorado Rush
Denver,D1,W,27,Kacey Harvey,F,So,,"Highlands Ranch, Colorado",,Real Colorado
Denver,D1,W,28,Liv Moritz,M,Sr,,"Vail, Colorado",,Vail Valley SC
Denver,D1,W,33,Jaidin Kinch,GK,Sr,,"Castle Rock, Colorado",,Colorado Rapids
SMU,D1,M,1,Jonathan Evans,GK,Fr,,"Collegeville, Pa.",,
SMU,D1,M,2,Ryan Clanton-Pimentel,D,So,,"Leander, Texas",,
SMU,D1,M,3,Villads Landsperg,D,Jr,,"Copenhagen, Denmark",,
SMU,D1,M,4,Mason Grimm,D,Fr,,"Southlake, Texas",,
SMU,D1,M,5,Noah Holmstrøm,D,So,,"Aalborg, Denmark",,
SMU,D1,M,6,Alex Salvo,M,Jr,,"Madrid, Spain",,
SMU,D1,M,7,Jaylinn Mitchell,M,Jr,,"La Mirada, Calif",,
SMU,D1,M,10,Milton Lopez,F,Jr,,"Irving, Texas",,
SMU,D1,M,11,Franco Ocana,M,Fr,,"Las Varillas, Cordoba, Argentina",,
SMU,D1,M,12,TJ Dilley,D,Fr,,"Dana Point, Calif.",,
SMU,D1,M,14,Enzo Panozzo,D,Sr,,"Sarasota, Fla.",,
SMU,D1,M,15,Nick Harshaw,M,So,,"Louisville, Ky.",,
SMU,D1,M,16,Landon Hickam,M,Fr,,"Frisco, Texas",,
SMU,D1,M,20,Mukisa Emmanuel,F,Jr,,"Mbale, Uganda",,
SMU,D1,M,21,Andre Philibbosian,M,So,,"San Diego, Calif.",,
SMU,D1,M,23,Oliver Knotek,F,So,,"Palos Verdes, Calif.",,
SMU,D1,M,24,Chris Deamon,F,Jr,,"Dallas, Texas",,
SMU,D1,M,26,Caleb Bronold,M,Fr,,"Frisco, Texas",,
SMU,D1,M,28,Anden Ellis,D,Fr,,"St. Louis, Mo.",,
SMU,D1,M,29,Nathan Kinser,GK,Fr,,"Lucas, Texas",,
SMU,D1,M,30,Stephan Soghomonian,F,So,,"Santa Clarita, Calif.",,
SMU,D1,M,33,Spencer Zachgo,F,Fr,,"Wichita, Kansas",,
SMU,D1,M,34,Trey Clements,F,Jr,,"Fairhope, Ala.",,
SMU,D1,M,37,Daniel Wozniak,GK,Fr,,"Lee's Summit, Mo.",,
SMU,D1,W,1,Aubrey Brown,GK,Jr,,"Irving, Texas",,
SMU,D1,W,2,Kamiya Beck,F,Fr,,"Lancaster, Texas",,
SMU,D1,W,4,Peyton Hayes,F,Fr,,"Southlake, Texas",,
SMU,D1,W,5,Jessica Osborne,D,Sr,,"Summerville, S.C.",,
SMU,D1,W,6,Ella Zimmerman,D,Sr,,"Cumming, Ga.",,
SMU,D1,W,7,Kaia Elverum,M,So,,"Olso, Norway",,
SMU,D1,W,8,Sarah Bonnecaze,M,Jr,,"Baton Rouge, La.",,
SMU,D1,W,9,Julianna Millin,F,So,,"McAllen, Texas",,
SMU,D1,W,10,Lindsay Nicholson,M,So,,"Palm Harbor, Fla.",,
SMU,D1,W,11,Zoe Parkhurst,M,Sr,,"Menlo Park, Calif.",,
SMU,D1,W,12,Lisa Beyer,M,Fr,,"Dresden, Germany",,
SMU,D1,W,13,Brooke Bunton,M,Fr,,"Green Cove Springs, Fla.",,
SMU,D1,W,14,Olivia Maddocks,M,Fr,,"Manchester, England",,
SMU,D1,W,15,Olivia Silcox,M,Jr,,"Peachtree City, Ga.",,
SMU,D1,W,17,Londynn Hagan,F,Fr,,"Mustang, Okla.",,
SMU,D1,W,18,Ryann Dedmon,D,Fr,,"Houston, Texas",,
SMU,D1,W,19,Maila Herzig,F,Fr,,"Braunschweig, Germany",,
SMU,D1,W,20,Maleeya Martin,D,So,,"Leesburg, Va.",,
SMU,D1,W,22,Nicole Stryker,D,So,,"Loomis, Calif.",,
SMU,D1,W,23,Hayden Wilson,D,Jr,,"Rancho Cucamonga, Calif.",,
SMU,D1,W,24,Abby Goldean,D,Fr,,"Charlotte, N.C.",,
SMU,D1,W,24,Kaylee Noble,F,Jr,,"Lakewood, Calif.",,
SMU,D1,W,29,Libby Jannereth,M,So,,"Allen, Texas",,
SMU,D1,W,30,Jessi Curry,GK,Sr,,"Farmington, N.M.",,
SMU,D1,W,34,Julianne Richter,M,Fr,,"Temecula, Calif.",,
SMU,D1,W,44,Kenlea Swadener,GK,Fr,,"Fairview, Texas",,
Akron,D1,M,0,Gavin Crane,GK,Fr,76.0,"Hinckley, Ohio",,
Akron,D1,M,1,Brett Kaminski,GK,Jr,72.0,"Cooper City, Fla.",,
Akron,D1,M,3,Kam Warnke,D,Fr,70.0,"Aurora, Ohio",,
Akron,D1,M,4,Freddy Kossehasse,D,Sr,73.0,"McKinney, Texas",,
Akron,D1,M,6,Matthew Paiva,D,Sr,74.0,"Toronto, Ontario",,
Akron,D1,M,7,Thomas O’Rourke,M,So,69.0,"East Patchogue, N.Y.",,
Akron,D1,M,9,Farrel Ngongang,F,So,72.0,"Montreal, Quebec",,
Akron,D1,M,10,Jack Roman,M,Jr,67.0,"Canfield, Ohio",,
Akron,D1,M,11,Leo Morana,M,Fr,72.0,"Strongsville, Ohio",,
Akron,D1,M,13,Remi Agunbiade,F,Jr,73.0,"Toronto, Ontario",,
Akron,D1,M,17,Ignacio Alem,F,Jr,70.0,"Potomoc, Md.",,
Akron,D1,M,22,Matt Dreas,M,Sr,70.0,"Covington, Ky.",,
Akron,D1,M,23,Braxton Hayes,M,So,68.0,"Bowie, Md.",,
Akron,D1,M,24,Noa Testa,M,Fr,68.0,"La Sarraz, Switzerland",,
Akron,D1,M,26,Londen Sears,M,Fr,74.0,"New Albany, Ohio",,
Akron,D1,W,1,Freya Blatz,GK,Fr,68.0,"Bethel Park, Pa.",,Century United GA
Akron,D1,W,2,Hattie Yugovich,M,Fr,66.0,"Mansfield, Ohio",,Internationals SC ECNL
Akron,D1,W,4,Fiona Buczak,M,So,62.0,"Brunswick, Ohio",,Internationals SC ECNL
Akron,D1,W,5,Luisa Fragnoli,D,So,64.0,"Medina, Ohio",,Internationals SC ECNL
Akron,D1,W,8,Olivia Heskett,F,Sr,70.0,"Lewis Center, Ohio",,Sporting Columbus
Akron,D1,W,11,Kailyn Biecker,D,Jr,66.0,"Wadsworth, Ohio",,Internationals SC ECNL
Akron,D1,W,13,Jordanne Oberhaus,D,Sr,65.0,"Wadsworth, Ohio",,Internationals SC ECNL
Akron,D1,W,15,Kaitlyn Rogowski,F,Jr,63.0,"Hilliard, Ohio",,Ohio Premier SC ECNL
Akron,D1,W,16,Bailey Kerins,D,Fr,62.0,"Dublin, Ohio",,Ohio Premier ECNL
Akron,D1,W,17,Devyn Raymond,F,So,71.0,"Shelby Township, Mich.",,Nationals Blue GA/ECNL
Akron,D1,W,18,Addison Hall,M,So,69.0,"Manchester, Conn.",,Connecticut Football Club ECNL
Akron,D1,W,20,Allie McMillen,M,Jr,65.0,"Shreve, Ohio",,Ohio Strikers United
Akron,D1,W,21,Olivia Pilato,F,So,61.0,"Rochester, N.Y.",,Western N.Y. Flash ECNL
Akron,D1,W,22,Ashley Preston,D,Fr,69.0,"Westfield, Ind.",,Indy Eleven Academy ECNL
Akron,D1,W,23,Emma Ogdahl,F,Fr,63.0,"Perrysburg, Ohio",,Cleveland Force SC ECNL
Akron,D1,W,24,Grace Shondel,F,Fr,67.0,"Wadsworth, Ohio",,Cleveland Force ECNL
Akron,D1,W,25,Rachel Wenzel,F,Jr,65.0,"Akron, Ohio",,FC Evolution GA
Akron,D1,W,26,Callee DalBon,M,Fr,62.0,"Bethel Park, Pa.",,Beading SC GA
Akron,D1,W,30,Eesha Sutharshan,M,Jr,62.0,"Knoxville, Tenn.",,FC Alliance ECNL
Akron,D1,W,33,Sara Bower,GK,Sr,65.0,"Cincinnati, Ohio",,Cincinnati United Premier GA
Akron,D1,W,37,Holly Skipper,F,Fr,68.0,"Reading, Pa.",,FC Delco ECNL
Houston,D1,W,0,Delilah Burns,GK,Fr,,"Evan, Ga.",,
Houston,D1,W,1,Molly Wissman,GK,Sr,,Santa Fe. N.M.,,
Houston,D1,W,2,Kendall Jones,D,Jr,,"San Antonio, Texas",,
Houston,D1,W,3,Samira Minor,F,So,,"Frisco, Texas",,FC Dallas
Houston,D1,W,4,Morgan Donohue,M,Sr,,"Dallas, Texas",,Solar
Houston,D1,W,5,Jocelyn Chinea,F,Sr,,"Tampa, Fla.",,
Houston,D1,W,6,Ava Shannon,M,Sr,,"Atascocita, Texas",,Dash
Houston,D1,W,7,Danielle Shannon,M,Sr,61.0,"Atascocita, Texas",,Dash
Houston,D1,W,8,Peyton Machado,D,Sr,67.0,"Clovis, Calif.",Retail and Consumer Science,Clovis Crossfire
Houston,D1,W,9,Blake Hodgson,F,Jr,,"Missouri City, Texas",,Albion Hurricanes FC
Houston,D1,W,10,Madyson Bentil,M,So,,"Loganville, Ga.",,Concorde Fire
Houston,D1,W,11,Skylar Miller,M,Jr,,"Virginia Beach, Virginia",,
Houston,D1,W,12,Nadia Ortiz,M,So,,"Trophy Club, Texas",,FC Dallas
Houston,D1,W,13,Laney Gonzales,D,Sr,65.0,"Magnolia, Texas",Integrated Studies,Dash
Houston,D1,W,14,Lewhat Tesfazghi,M,Fr,,"Snellville, Ga.",,
Houston,D1,W,15,Amaris Bumba,F,So,,"Raleigh, N.C.",,
Houston,D1,W,16,Alex Ledbetter,F,Fr,,"Houston, Texas",,Albion Hurricanes FC
Houston,D1,W,18,Casey Maddox,M,Jr,64.0,"Snellville, Ga.",Kinesiology,
Houston,D1,W,19,Adelhia Ghonda,F,Sr,,"Houston, Texas",,Albion Hurricanes FC
Houston,D1,W,20,Tristen Yi,D,Fr,,"Edmond, Okla.",,
Houston,D1,W,21,Jada Arthurs,F,Jr,71.0,"Branford, Ontario",,
Houston,D1,W,22,Addy Cooper,D,Fr,,"San Antonio, Texas",,SA City
Houston,D1,W,24,Charlotte Richardson,D,Jr,68.0,"Missouri City, Texas","Kinesiology, Exercise Science",Albion Hurricanes FC
Houston,D1,W,28,Elle Sloan,F,Fr,,"Danville, Calif.",,
Houston,D1,W,30,Ella Morgan,D,Sr,,"Allen, Texas",,DKSC
Houston,D1,W,31,Riley Hewitt,D,Fr,,"Keller, Texas",,
Houston,D1,W,32,Sierra McCluer,GK,Jr,69.0,"Katy, Texas",,
Houston,D1,W,33,Kate Borgmeier,GK,Sr,72.0,"Salt Lake City, Utah",,Utah Soccer Alliance
Houston,D1,W,36,Bailey Cate,F,So,,"Lubbock, Texas",,
North Carolina,D1,M,0,Coleman Catlett,GK,So,73.0,"Holly Springs, N.C.",,
North Carolina,D1,M,1,Alan Rutkowski,GK,Fr,74.0,"Elmwood Park, N.J.",,
North Carolina,D1,M,2,Myles Carson,D,Fr,72.0,"Bedford, Texas",,
North Carolina,D1,M,4,Steven Oyirwoth,D,Fr,73.0,"Pakwach, Uganda",,
North Carolina,D1,M,5,Nick Lockermann,D,Sr,,"Nuremberg, Germany",,
North Carolina,D1,M,6,Charlie Antonelius,M,So,71.0,"Stockholm, Sweden",,
North Carolina,D1,M,7,Jace Donawa,F,Fr,69.0,"Sandys, Bermuda",,
North Carolina,D1,M,8,Nico Loebus,M,So,,"Bad Homburg, Germany",,
North Carolina,D1,M,9,Dan Klink,F,So,76.0,"Monkton, Md.",,
North Carolina,D1,M,10,Joschi Schelb,M,Sr,73.0,"Freiburg, Germany",,
North Carolina,D1,M,11,Ryan Dugan,F,So,70.0,"St. Louis, Mo.",,
North Carolina,D1,M,12,Marco Simion Guzmán,GK,Fr,73.0,"Miami, Fla.",,
North Carolina,D1,M,13,Luca Nikolai,D,Sr,73.0,"Düsseldorf, Germany",,
North Carolina,D1,M,15,Max Fisher,D,Sr,71.0,"Widnes, Cheshire, England",,
North Carolina,D1,M,17,Drew Waller,F,So,74.0,"Concord, N.C.",,
North Carolina,D1,M,18,Jonathan Luna Sabando,M,Fr,68.0,"Irving, Texas",,
North Carolina,D1,M,19,Bertil Rygaard Hansen,F,Jr,73.0,"Slagelse, Denmark",,
North Carolina,D1,M,20,Lorenzo D'Agostini,F,Fr,74.0,"Miami, Fla.",,
North Carolina,D1,M,21,Benjamin Maitre,M,Fr,75.0,"Boulogne Billancourt, France",,
North Carolina,D1,M,22,Etienne Veillard,D,Fr,68.0,"Federal Way, Washington",,
North Carolina,D1,M,23,Jayden Puna,D,Fr,70.0,"Pearland, Texas",,
North Carolina,D1,M,24,Alejandro Saborio-Perez,GK,So,71.0,"Geneva, Switzerland",,
North Carolina,D1,M,25,David Molina,M,Jr,70.0,"Cary, N.C.",,
North Carolina,D1,M,26,Martin Mai,F,Jr,68.0,"Aarhus, Denmark",,
North Carolina,D1,M,27,Ryan Zellefrow,M,Jr,70.0,"Berywn, Pa.",,
North Carolina,D1,M,28,Quinton John,D,Fr,75.0,"Margate, Fla.",,
North Carolina,D1,M,31,Cristian Milazzo,D,Jr,71.0,"Cary, N.C.",,
North Carolina,D1,M,33,Riley Berge,D,Sr,72.0,"Columbia, Md.",,
North Carolina,D1,M,34,Jarle Petzold,M,Fr,72.0,"As, Norway",,
Rutgers,D1,W,0,Olivia Bodmer,GK,Sr,70,"Monroe, N.J.",,
Rutgers,D1,W,1,Lauren Swafford,GK,Fr,67,"Moorestown, N.J.",,
Rutgers,D1,W,2,Julia Joseph,D,So,68,"Lake Oswego, Ore.",,
Rutgers,D1,W,3,Lilia Calvert,F,Fr,66,"Clarks Summit, Pa.",,
Rutgers,D1,W,4,Sophia Stiles,D,So,71,"Portland, Ore.",,
Rutgers,D1,W,5,Bea Tinoco,F,Fr,63,"Middletown, N.J.",,
Rutgers,D1,W,6,Reilly McGlinn,F,Jr,65,"Cherry Hill, N.J.",,
Rutgers,D1,W,8,Gabriela Gil,M,Jr,63,"Westfield, N.J.",,
Rutgers,D1,W,9,Tommi Rose Valente,M,Fr,65,"Kearny, N.J.",,
Rutgers,D1,W,11,Charlotte Garcia,F,So,69,"East Windsor, N.J.",,
Rutgers,D1,W,12,Olivia Russomanno,F,Jr,64,"Cranford, N.J.",,
Rutgers,D1,W,13,Audrey Cain,D,Sr,63,"Philadelphia, Pa.",,
Rutgers,D1,W,14,Gaby Sanchez,M,So,64,"Wayne, N.J.",,
Rutgers,D1,W,15,Lily Ann Phillips,M,Fr,67,"Hockessin, Del.",,
Rutgers,D1,W,16,Jayme Malanda,D,So,69,"Middletown, N.J.",,
Rutgers,D1,W,17,Ashley Baran,F,Sr,66,"Burlington, N.J.",,
Rutgers,D1,W,19,Gesare Omwenga,D,Fr,66,"Cary, N.C.",,
Rutgers,D1,W,20,Marian Dunne,F,Fr,68,"Portland, Ore.",,
Rutgers,D1,W,21,Sarah Martinez,M,Fr,69,"Apex, N.C.",,
Rutgers,D1,W,22,Amanda Thornton,F,Fr,66,"Chatham, N.J.",,
Rutgers,D1,W,23,Mikayla Mandleur,D,Jr,69,"East Brunswick, N.J.",,
Rutgers,D1,W,24,Madelyn O'Neill,D,So,64,"New Egypt, N.J.",,
Rutgers,D1,W,25,Morgan Hippeli,M,Jr,71,"Peachtree Corners, Ga.",,
Rutgers,D1,W,30,Iris De Rouw,GK,Fr,68,"Rhoon, Netherlands",,
Rutgers,D1,W,31,Lindsey Hailey,D,So,70,"Raleigh, N.C.",,
Rutgers,D1,W,45,Shannon Reiser,D,Jr,66,"Matawan, N.J.",,
Rutgers,D1,W,57,Riley Morris,D,Jr,65,"Doylestown, Pa.",,
Rutgers,D1,W,77,Patricia Tsokos,D,Sr,68,"Richmond Hill, Ontario",,
Rutgers,D1,W,79,Adela Vasakova,F,So,66,"Brezovica, Slovakia",,
Rutgers,D1,W,92,Emma Johns,F,Sr,68,"Euless, Texas",,
Rutgers,D1,W,99,Dina Bojkovic,F,Fr,61,"Livingston, N.J.",,
TCU,D1,W,00,Claireese Foley,GK,Jr,71.0,"Prosper, Texas",,D'Feeters Kicks SC
TCU,D1,W,1,Olivia Geller,GK,Jr,69.0,"Southlake, Texas",,FC Dallas
TCU,D1,W,2,Amelie Darey,D,Sr,67.0,"Epsom, Surrey, England",,
TCU,D1,W,3,Peyton Nourse,M,Jr,65.0,"Denver, Colo.",,
TCU,D1,W,4,Zoe Cuneio,D,Sr,71.0,"Wildwood, Mo.",,
TCU,D1,W,5,Betsi Salihi,D,Fr,,"Newton-le-Willows, England",,
TCU,D1,W,6,Kaela Martinez,M,Jr,64.0,"San Diego, Calif.",,Albion SC San Diego
TCU,D1,W,7,Addison DeJoseph,M,Fr,,"Atlanta, Ga.",,
TCU,D1,W,9,Alexa DeJoseph,F,Fr,,"Atlanta, Ga.",,
TCU,D1,W,10,Kamdyn Fuller,M,So,64.0,"Southlake, Texas",,Solar SC
TCU,D1,W,11,Bella Diorio,F,Sr,66.0,"Lockport, Ill.",,Eclipse Select Soccer Club
TCU,D1,W,12,Madison Taylor,F,Fr,,"Houston, Texas",,
TCU,D1,W,13,Leah Negeri,D,So,69.0,"Dallas, Texas",,Solar SC
