school,division,gender,jersey,name,position,class_year,height_in,hometown,major,club_team
Indiana,D1,M,15,Luka Bezerra,F,Sr,74.0,"Chicago, Ill.",,Chicago Fire
Indiana,D1,M,16,Charlie Heuer,M,Jr,70.0,"Elmhurst, Ill.",,Chicago Fire
Indiana,D1,M,17,Justin Shreffler,M,Jr,70.0,"Westlake, Ohio",,Spire FC
Indiana,D1,M,18,Dempsey Resich,F,Fr,69.0,"Palos Verdes, Calif.",,LAFC
Indiana,D1,M,19,Breckin Minzey,D,Sr,72.0,"Granger, Ind.",,Indiana Fire/Indy Eleven
Indiana,D1,M,20,Clay Murador,F,Sr,71.0,"Aledo, Texas",,Dallas Texans
Indiana,D1,M,21,Michael Adu-Gyamfi,F,Fr,68.0,"Accra, Ghana",,Right to Dream
Indiana,D1,M,22,EJ Dreher,M,Jr,68.0,"Valparaiso, Ind.",,Indiana Elite FC
Indiana,D1,M,23,Westin Carnevale,M,Sr,70.0,"Pittsburgh, Pa.",,
Indiana,D1,M,24,Owen Sloan,F,Fr,70.0,"Lake Forest, Ill.",,Chicago Fire
Indiana,D1,M,25,Luke Reidell,D,Jr,68.0,"Rochester, N.Y.",,Sporting Kansas City
Indiana,D1,M,26,Drew Gaydosh,D,So,76.0,"Centerville, Ohio",,Cincinnati United Premier
Indiana,D1,M,27,Sam Hess,D,Fr,72.0,"Naperville, Ill.",,Eclipse Select
Indiana,D1,M,28,Vincent Uglow,D,Fr,73.0,"Newtown Square, Pa.",,Penn Fusion
Indiana,D1,M,30,Cooper Johnsen,GK,Sr,72.0,"Los Altos Hills, Calif.",,Silicon Valley Soccer Academy
Indiana,D1,M,31,Michal Mroz,GK,Jr,74.0,"Elk Grove, Ill.",,FC United
Indiana,D1,M,99,Ryan Hunsucker,GK,Fr,72.0,"Westfield, Ind.",,Indy Eleven
Indiana,D1,W,1,Dani Jacobson,GK,Sr,69.0,"Parker, Colo.",,
Indiana,D1,W,2,Kennedy Neighbors,M,Sr,66.0,"Evansville, Ind.",,
Indiana,D1,W,3,Bella Haggerty,D,Jr,70.0,"Leawood, Kan.",,
Indiana,D1,W,4,Maggie Ledwith,M,Jr,68.0,"New Hyde Park, N.Y.",,
Indiana,D1,W,6,Summer Fishel,M,So,68.0,"Indianapolis, ind.",,
Indiana,D1,W,7,Emily Graham,F,Fr,64.0,"Fort Wayne, Ind.",,
Indiana,D1,W,8,Elora Franklin,D,Fr,68.0,"Seattle, Wash.",,
Indiana,D1,W,9,Aleyna Quinn,F,Jr,69.0,"Newburgh, Ind.",,
Indiana,D1,W,10,Ella Stanley,D,Sr,65.0,"Beverdam, Va.",,
Indiana,D1,W,11,Jenna Chatterton,M,Sr,62.0,"Noblesville, Ind.",,
